SMILES,rdkit_SMILES,Molecular Weight,Molecular Formula,IUPAC chemical name,EPISUITE-compatible SMILES,InChI Code,InChI Key
C(F)(C(Br)(Cl)I),FCC(Cl)(Br)I,287.295,C2H2BrClFI,1-bromo-1-chloro-2-fluoro-1-iodoethane,C(F)(C(Br)(Cl)I),"InChI=1S/C2H2BrClFI/c3-2(4,6)1-5/h1H2",InChIKey=ZSMGLNRMEUDCNQ-UHFFFAOYSA-N
C(Br)(Cl)(C(F)I),FC(I)C(Cl)Br,287.295,C2H2BrClFI,1-bromo-1-chloro-2-fluoro-2-iodoethane,C(Br)(Cl)(C(F)I),InChI=1S/C2H2BrClFI/c3-1(4)2(5)6/h1-2H,InChIKey=NUIIRLZJOVEQSP-UHFFFAOYSA-N
C(Cl)(C(Br)(F)I),FC(Br)(I)CCl,287.295,C2H2BrClFI,1-bromo-2-chloro-1-fluoro-1-iodoethane,C(Cl)(C(Br)(F)I),"InChI=1S/C2H2BrClFI/c3-2(5,6)1-4/h1H2",InChIKey=FIROQNGZSXLSCE-UHFFFAOYSA-N
C(Cl)(I)(C(Br)F),FC(Br)C(Cl)I,287.295,C2H2BrClFI,1-bromo-2-chloro-1-fluoro-2-iodoethane,C(Cl)(I)(C(Br)F),InChI=1S/C2H2BrClFI/c3-1(5)2(4)6/h1-2H,InChIKey=VSLWSQJWNNCTQK-UHFFFAOYSA-N
C(Cl)(F)(C(Br)I),FC(Cl)C(Br)I,287.295,C2H2BrClFI,1-bromo-2-chloro-2-fluoro-1-iodoethane,C(Cl)(F)(C(Br)I),InChI=1S/C2H2BrClFI/c3-1(6)2(4)5/h1-2H,InChIKey=XXCWERUPGKDOHJ-UHFFFAOYSA-N
C(Br)(C(Cl)(F)I),FC(Cl)(I)CBr,287.295,C2H2BrClFI,2-bromo-1-chloro-1-fluoro-1-iodoethane,C(Br)(C(Cl)(F)I),"InChI=1S/C2H2BrClFI/c3-1-2(4,5)6/h1H2",InChIKey=WPEPARCMAWCZPV-UHFFFAOYSA-N
C(Br)(Cl)(Cl)(I),ClC(Cl)(Br)I,289.719,CBrCl2I,bromodichloroiodomethane,C(Br)(Cl)(Cl)(I),"InChI=1S/CBrCl2I/c2-1(3,4)5",InChIKey=LQIBXLYNINRTIR-UHFFFAOYSA-N
IC(C1)=C1I,IC1=C(I)C1,291.858,C3H2I2,"1,2-diiodocycloprop-1-ene",IC(C1)=C1I,InChI=1S/C3H2I2/c4-2-1-3(2)5/h1H2,InChIKey=FQVXYFHIZWHZFX-UHFFFAOYSA-N
IC1=CC1I,IC1=CC1I,291.858,C3H2I2,"1,3-diiodocycloprop-1-ene",IC1=CC1I,InChI=1S/C3H2I2/c4-2-1-3(2)5/h1-2H,InChIKey=BNSGCQHWFAFYMY-UHFFFAOYSA-N
C(I)(C#CI),IC#CCI,291.858,C3H2I2,"1,3-diiodoprop-1-yne",C(I)(C#CI),InChI=1S/C3H2I2/c4-2-1-3-5/h2H2,InChIKey=MIEYKSSIKKUDFG-UHFFFAOYSA-N
IC1(I)C=C1,IC1(I)C=C1,291.858,C3H2I2,"3,3-diiodocycloprop-1-ene",IC1(I)C=C1,InChI=1S/C3H2I2/c4-3(5)1-2-3/h1-2H,InChIKey=IWZSXLXWBSAJIP-UHFFFAOYSA-N
C(I)(I)(C#C),C#CC(I)I,291.858,C3H2I2,"3,3-diiodoprop-1-yne",C(I)(I)(C#C),"InChI=1S/C3H2I2/c1-2-3(4)5/h1,3H",InChIKey=CAPZZXYPMSHMAR-UHFFFAOYSA-N
IC(N1)=C1I,IC1=C(I)N1,292.846,C2HI2N,"2,3-diiodo-1H-azirine",IC(N1)=C1I,InChI=1S/C2HI2N/c3-1-2(4)5-1/h5H,InChIKey=ZDEVMIFMQPRVNZ-UHFFFAOYSA-N
IC(O1)=C1I,IC1=C(I)O1,293.83,C2I2O,"2,3-diiodooxirene",IC(O1)=C1I,InChI=1S/C2I2O/c3-1-2(4)5-1,InChIKey=ZPSUIGIOCIRBPQ-UHFFFAOYSA-N
C(C1)(C1(I)I),IC1(I)CC1,293.874,C3H4I2,"1,1-diiodocyclopropane",C(C1)(C1(I)I),InChI=1S/C3H4I2/c4-3(5)1-2-3/h1-2H2,InChIKey=FLVRSZNOVIPOOV-UHFFFAOYSA-N
C(C=C(I)I),CC=C(I)I,293.874,C3H4I2,"1,1-diiodoprop-1-ene",C(C=C(I)I),"InChI=1S/C3H4I2/c1-2-3(4)5/h2H,1H3",InChIKey=MZJAPSACGPULPL-UHFFFAOYSA-N
C(C1I)(C1I),IC1CC1I,293.874,C3H4I2,"1,2-diiodocyclopropane",C(C1I)(C1I),"InChI=1S/C3H4I2/c4-2-1-3(2)5/h2-3H,1H2",InChIKey=RJRKSOILXSTINN-UHFFFAOYSA-N
C(C(I)=CI),CC(I)=CI,293.874,C3H4I2,"1,2-diiodoprop-1-ene",C(C(I)=CI),"InChI=1S/C3H4I2/c1-3(5)2-4/h2H,1H3",InChIKey=NCKILPOJMTYFBM-UHFFFAOYSA-N
C(I)(C=CI),IC=CCI,293.874,C3H4I2,"1,3-diiodoprop-1-ene",C(I)(C=CI),"InChI=1S/C3H4I2/c4-2-1-3-5/h1-2H,3H2",InChIKey=YAFXNPXSWMUSEJ-UHFFFAOYSA-N
C(I)(C(I)=C),C=C(I)CI,293.874,C3H4I2,"2,3-diiodoprop-1-ene",C(I)(C(I)=C),InChI=1S/C3H4I2/c1-3(5)2-4/h1-2H2,InChIKey=IAMDCNFGENAKIW-UHFFFAOYSA-N
C(I)(I)(C=C),C=CC(I)I,293.874,C3H4I2,"3,3-diiodoprop-1-ene",C(I)(I)(C=C),"InChI=1S/C3H4I2/c1-2-3(4)5/h2-3H,1H2",InChIKey=UVAIWCXNJPMBMX-UHFFFAOYSA-N
IC1(I)CN1,IC1(I)CN1,294.862,C2H3I2N,"2,2-diiodoaziridine",IC1(I)CN1,"InChI=1S/C2H3I2N/c3-2(4)1-5-2/h5H,1H2",InChIKey=DDTCEABHNRXURD-UHFFFAOYSA-N
IC1C(I)N1,IC1NC1I,294.862,C2H3I2N,"2,3-diiodoaziridine",IC1C(I)N1,"InChI=1S/C2H3I2N/c3-1-2(4)5-1/h1-2,5H",InChIKey=UCUZPNFWAASRKA-UHFFFAOYSA-N
IC1(I)CO1,IC1(I)CO1,295.846,C2H2I2O,"2,2-diiodooxirane",IC1(I)CO1,InChI=1S/C2H2I2O/c3-2(4)1-5-2/h1H2,InChIKey=AIBHMOSBWCTVIZ-UHFFFAOYSA-N
IC1C(I)O1,IC1OC1I,295.846,C2H2I2O,"2,3-diiodooxirane",IC1C(I)O1,InChI=1S/C2H2I2O/c3-1-2(4)5-1/h1-2H,InChIKey=SIULGWHSYBOYFG-UHFFFAOYSA-N
C(CC(I)I),CCC(I)I,295.89,C3H6I2,"1,1-diiodopropane",C(CC(I)I),"InChI=1S/C3H6I2/c1-2-3(4)5/h3H,2H2,1H3",InChIKey=GELJRMXFVDEVLN-UHFFFAOYSA-N
C(C(I)CI),CC(I)CI,295.89,C3H6I2,"1,2-diiodopropane",C(C(I)CI),"InChI=1S/C3H6I2/c1-3(5)2-4/h3H,2H2,1H3",InChIKey=ISXPOEJSKALLKA-UHFFFAOYSA-N
C(I)(CCI),ICCCI,295.89,C3H6I2,"1,3-diiodopropane",C(I)(CCI),InChI=1S/C3H6I2/c4-2-1-3-5/h1-3H2,InChIKey=AAAXMNYUNVCMCJ-UHFFFAOYSA-N
C(C(I)(I)C),CC(C)(I)I,295.89,C3H6I2,"2,2-diiodopropane",C(C(I)(I)C),"InChI=1S/C3H6I2/c1-3(2,4)5/h1-2H3",InChIKey=AZUCPFMKPGFGTB-UHFFFAOYSA-N
PC(Br)=C(Br)Br,PC(Br)=C(Br)Br,296.724,C2H2Br3P,"(1,2,2-tribromovinyl)phosphane",PC(Br)=C(Br)Br,InChI=1S/C2H2Br3P/c3-1(4)2(5)6/h6H2,InChIKey=LEFVOWKLHKDIKD-UHFFFAOYSA-N
BrC1C(Br)(Br)P1,BrC1PC1(Br)Br,296.724,C2H2Br3P,"2,2,3-tribromophosphirane",BrC1C(Br)(Br)P1,"InChI=1S/C2H2Br3P/c3-1-2(4,5)6-1/h1,6H",InChIKey=IHQIBGBEEOESGT-UHFFFAOYSA-N
NC(I)(I)(C),CC(N)(I)I,296.878,C2H5I2N,"1,1-diiodoethan-1-amine",NC(I)(I)(C),"InChI=1S/C2H5I2N/c1-2(3,4)5/h5H2,1H3",InChIKey=USVSPHYNHWXNIP-UHFFFAOYSA-N
CNC(I)(I),CNC(I)I,296.878,C2H5I2N,"1,1-diiodo-N-methylmethanamine",CNC(I)(I),"InChI=1S/C2H5I2N/c1-5-2(3)4/h2,5H,1H3",InChIKey=LXSQSRRBGHWKDJ-UHFFFAOYSA-N
NC(I)(CI),NC(I)CI,296.878,C2H5I2N,"1,2-diiodoethan-1-amine",NC(I)(CI),"InChI=1S/C2H5I2N/c3-1-2(4)5/h2H,1,5H2",InChIKey=HILPELQUDDJOBQ-UHFFFAOYSA-N
NC(C(I)I),NCC(I)I,296.878,C2H5I2N,"2,2-diiodoethan-1-amine",NC(C(I)I),"InChI=1S/C2H5I2N/c3-2(4)1-5/h2H,1,5H2",InChIKey=XOWZQNURZGTIEN-UHFFFAOYSA-N
C(I)NC(I),ICNCI,296.878,C2H5I2N,bis(iodomethyl)amine,C(I)NC(I),"InChI=1S/C2H5I2N/c3-1-5-2-4/h5H,1-2H2",InChIKey=OSHBWHLKDXARAW-UHFFFAOYSA-N
C(I)=C(F)(I),FC(I)=CI,297.837,C2HFI2,"1-fluoro-1,2-diiodoethene",C(I)=C(F)(I),InChI=1S/C2HFI2/c3-2(5)1-4/h1H,InChIKey=UFLXMEMIBAQTSD-UHFFFAOYSA-N
C(F)=C(I)(I),FC=C(I)I,297.837,C2HFI2,"2-fluoro-1,1-diiodoethene",C(F)=C(I)(I),InChI=1S/C2HFI2/c3-1-2(4)5/h1H,InChIKey=IHPVERANFMQENB-UHFFFAOYSA-N
COC(I)(I),COC(I)I,297.862,C2H4I2O,diiodo(methoxy)methane,COC(I)(I),"InChI=1S/C2H4I2O/c1-5-2(3)4/h2H,1H3",InChIKey=WPFDMQLUSXCSJE-UHFFFAOYSA-N
C(I)OC(I),ICOCI,297.862,C2H4I2O,iodo(iodomethoxy)methane,C(I)OC(I),InChI=1S/C2H4I2O/c3-1-5-2-4/h1-2H2,InChIKey=NWMAFUPEQLTLPX-UHFFFAOYSA-N
O=PC(Br)(Br)Br,O=PC(Br)(Br)Br,298.696,CBr3OP,oxo(tribromomethyl)phosphane,O=PC(Br)(Br)Br,"InChI=1S/CBr3OP/c2-1(3,4)6-5",InChIKey=ONIWXLSITSCSEC-UHFFFAOYSA-N
PC(CBr)(Br)Br,PC(Br)(Br)CBr,298.74,C2H4Br3P,"(1,1,2-tribromoethyl)phosphane",PC(CBr)(Br)Br,"InChI=1S/C2H4Br3P/c3-1-2(4,5)6/h1,6H2",InChIKey=ULIXGLGMVRUHAA-UHFFFAOYSA-N
PC(Br)C(Br)Br,PC(Br)C(Br)Br,298.74,C2H4Br3P,"(1,2,2-tribromoethyl)phosphane",PC(Br)C(Br)Br,"InChI=1S/C2H4Br3P/c3-1(4)2(5)6/h1-2H,6H2",InChIKey=HLVGPMQIWIKKKJ-UHFFFAOYSA-N
PCC(Br)(Br)Br,PCC(Br)(Br)Br,298.74,C2H4Br3P,"(2,2,2-tribromoethyl)phosphane",PCC(Br)(Br)Br,"InChI=1S/C2H4Br3P/c3-2(4,5)1-6/h1,6H2",InChIKey=LUHIVJSFPNJZHY-UHFFFAOYSA-N
BrCPC(Br)Br,BrCPC(Br)Br,298.74,C2H4Br3P,(bromomethyl)(dibromomethyl)phosphane,BrCPC(Br)Br,"InChI=1S/C2H4Br3P/c3-1-6-2(4)5/h2,6H,1H2",InChIKey=ARPPCPDUFKHWLV-UHFFFAOYSA-N
CPC(Br)(Br)Br,CPC(Br)(Br)Br,298.74,C2H4Br3P,methyl(tribromomethyl)phosphane,CPC(Br)(Br)Br,"InChI=1S/C2H4Br3P/c1-6-2(3,4)5/h6H,1H3",InChIKey=BLMVXTSLANPNPQ-UHFFFAOYSA-N
PC(Br)=C(Cl)I,PC(Br)=C(Cl)I,299.27,C2H2BrClIP,(1-bromo-2-chloro-2-iodovinyl)phosphane,PC(Br)=C(Cl)I,InChI=1S/C2H2BrClIP/c3-1(6)2(4)5/h6H2,InChIKey=MCNWOXIFYIFMRR-UHFFFAOYSA-N
PC(Cl)=C(Br)I,PC(Cl)=C(Br)I,299.27,C2H2BrClIP,(2-bromo-1-chloro-2-iodovinyl)phosphane,PC(Cl)=C(Br)I,InChI=1S/C2H2BrClIP/c3-1(5)2(4)6/h6H2,InChIKey=CURGDGDEIVQGCR-UHFFFAOYSA-N
PC(I)=C(Br)Cl,PC(I)=C(Cl)Br,299.27,C2H2BrClIP,(2-bromo-2-chloro-1-iodovinyl)phosphane,PC(I)=C(Br)Cl,InChI=1S/C2H2BrClIP/c3-1(4)2(5)6/h6H2,InChIKey=ZTFFAAVAMYAQAG-UHFFFAOYSA-N
IC1C(Cl)(Br)P1,ClC1(Br)PC1I,299.27,C2H2BrClIP,2-bromo-2-chloro-3-iodophosphirane,IC1C(Cl)(Br)P1,"InChI=1S/C2H2BrClIP/c3-2(4)1(5)6-2/h1,6H",InChIKey=OSHGGPJPEMHMMA-UHFFFAOYSA-N
ClC1C(I)(Br)P1,ClC1PC1(Br)I,299.27,C2H2BrClIP,2-bromo-3-chloro-2-iodophosphirane,ClC1C(I)(Br)P1,"InChI=1S/C2H2BrClIP/c3-2(5)1(4)6-2/h1,6H",InChIKey=XYJSCENDXZDQBY-UHFFFAOYSA-N
BrC1C(I)(Cl)P1,ClC1(I)PC1Br,299.27,C2H2BrClIP,3-bromo-2-chloro-2-iodophosphirane,BrC1C(I)(Cl)P1,"InChI=1S/C2H2BrClIP/c3-1-2(4,5)6-1/h1,6H",InChIKey=UZNPKCWCXDZVOL-UHFFFAOYSA-N
C(Br)(Br)(I),BrC(Br)I,299.731,CHBr2I,dibromoiodomethane,C(Br)(Br)(I),InChI=1S/CHBr2I/c2-1(3)4/h1H,InChIKey=SZVSEQHMMFKGEI-UHFFFAOYSA-N
PC(I)I,PC(I)I,299.818,CH3I2P,(diiodomethyl)phosphane,PC(I)I,"InChI=1S/CH3I2P/c2-1(3)4/h1H,4H2",InChIKey=XHRWBAREYYXXDP-UHFFFAOYSA-N
C(C(F)(I)I),CC(F)(I)I,299.853,C2H3FI2,"1-fluoro-1,1-diiodoethane",C(C(F)(I)I),"InChI=1S/C2H3FI2/c1-2(3,4)5/h1H3",InChIKey=HJUCZTUYIAOEMZ-UHFFFAOYSA-N
C(I)(C(F)I),FC(I)CI,299.853,C2H3FI2,"1-fluoro-1,2-diiodoethane",C(I)(C(F)I),"InChI=1S/C2H3FI2/c3-2(5)1-4/h2H,1H2",InChIKey=KYFJBNRVPWLCSY-UHFFFAOYSA-N
C(F)(C(I)I),FCC(I)I,299.853,C2H3FI2,"2-fluoro-1,1-diiodoethane",C(F)(C(I)I),"InChI=1S/C2H3FI2/c3-1-2(4)5/h2H,1H2",InChIKey=ZHONTTNBQCAWLC-UHFFFAOYSA-N
NC(F)(I)(I),NC(F)(I)I,300.841,CH2FI2N,fluorodiiodomethanamine,NC(F)(I)(I),"InChI=1S/CH2FI2N/c2-1(3,4)5/h5H2",InChIKey=KRSUEMIEBYPSMF-UHFFFAOYSA-N
O=PC(I)(Br)Cl,O=PC(Cl)(Br)I,301.242,CBrClIOP,(bromochloroiodomethyl)(oxo)phosphane,O=PC(I)(Br)Cl,"InChI=1S/CBrClIOP/c2-1(3,4)6-5",InChIKey=DURCZGLVNQEUJD-UHFFFAOYSA-N
PC(CI)(Br)Cl,PC(Cl)(Br)CI,301.286,C2H4BrClIP,(1-bromo-1-chloro-2-iodoethyl)phosphane,PC(CI)(Br)Cl,"InChI=1S/C2H4BrClIP/c3-2(4,6)1-5/h1,6H2",InChIKey=RBONBEJUTMAQKQ-UHFFFAOYSA-N
PC(CCl)(Br)I,PC(Br)(I)CCl,301.286,C2H4BrClIP,(1-bromo-2-chloro-1-iodoethyl)phosphane,PC(CCl)(Br)I,"InChI=1S/C2H4BrClIP/c3-2(5,6)1-4/h1,6H2",InChIKey=ILGNRFFIOBXBJT-UHFFFAOYSA-N
PC(Br)C(Cl)I,PC(Br)C(Cl)I,301.286,C2H4BrClIP,(1-bromo-2-chloro-2-iodoethyl)phosphane,PC(Br)C(Cl)I,"InChI=1S/C2H4BrClIP/c3-1(6)2(4)5/h1-2H,6H2",InChIKey=IJKKKKRSPGFRDV-UHFFFAOYSA-N
PC(CBr)(Cl)I,PC(Cl)(I)CBr,301.286,C2H4BrClIP,(2-bromo-1-chloro-1-iodoethyl)phosphane,PC(CBr)(Cl)I,"InChI=1S/C2H4BrClIP/c3-1-2(4,5)6/h1,6H2",InChIKey=XYLUAKAXAYZPDM-UHFFFAOYSA-N
PC(Cl)C(Br)I,PC(Cl)C(Br)I,301.286,C2H4BrClIP,(2-bromo-1-chloro-2-iodoethyl)phosphane,PC(Cl)C(Br)I,"InChI=1S/C2H4BrClIP/c3-1(5)2(4)6/h1-2H,6H2",InChIKey=DMNTWQRUSUYMHR-UHFFFAOYSA-N
PC(I)C(Br)Cl,PC(I)C(Cl)Br,301.286,C2H4BrClIP,(2-bromo-2-chloro-1-iodoethyl)phosphane,PC(I)C(Br)Cl,"InChI=1S/C2H4BrClIP/c3-1(4)2(5)6/h1-2H,6H2",InChIKey=OCUPHJRBYOWYOE-UHFFFAOYSA-N
PCC(I)(Br)Cl,PCC(Cl)(Br)I,301.286,C2H4BrClIP,(2-bromo-2-chloro-2-iodoethyl)phosphane,PCC(I)(Br)Cl,"InChI=1S/C2H4BrClIP/c3-2(4,5)1-6/h1,6H2",InChIKey=IRWRMTZAXVVWLI-UHFFFAOYSA-N
CPC(I)(Br)Cl,CPC(Cl)(Br)I,301.286,C2H4BrClIP,(bromochloroiodomethyl)(methyl)phosphane,CPC(I)(Br)Cl,"InChI=1S/C2H4BrClIP/c1-6-2(3,4)5/h6H,1H3",InChIKey=MCTULRUFOHQPPD-UHFFFAOYSA-N
ICPC(Br)Cl,ClC(Br)PCI,301.286,C2H4BrClIP,(bromochloromethyl)(iodomethyl)phosphane,ICPC(Br)Cl,"InChI=1S/C2H4BrClIP/c3-2(4)6-1-5/h2,6H,1H2",InChIKey=PGYAEEXVPCVRLR-UHFFFAOYSA-N
ClCPC(Br)I,ClCPC(Br)I,301.286,C2H4BrClIP,(bromoiodomethyl)(chloromethyl)phosphane,ClCPC(Br)I,"InChI=1S/C2H4BrClIP/c3-2(5)6-1-4/h2,6H,1H2",InChIKey=RBJICRPYENMHIA-UHFFFAOYSA-N
BrCPC(Cl)I,ClC(I)PCBr,301.286,C2H4BrClIP,(bromomethyl)(chloroiodomethyl)phosphane,BrCPC(Cl)I,"InChI=1S/C2H4BrClIP/c3-1-6-2(4)5/h2,6H,1H2",InChIKey=VSXUJXFSPZXDNR-UHFFFAOYSA-N
C(Cl)(I)(I),ClC(I)I,302.278,CHClI2,chlorodiiodomethane,C(Cl)(I)(I),InChI=1S/CHClI2/c2-1(3)4/h1H,InChIKey=RYPFDEIVUZVDCE-UHFFFAOYSA-N
C(F)(F)(I)(I),FC(F)(I)I,303.817,CF2I2,difluorodiiodomethane,C(F)(F)(I)(I),"InChI=1S/CF2I2/c2-1(3,4)5",InChIKey=SOEBNUZZZSSRNB-UHFFFAOYSA-N
IC(C1I)=C1F,FC1=C(I)C1I,309.848,C3HFI2,"1-fluoro-2,3-diiodocycloprop-1-ene",IC(C1I)=C1F,InChI=1S/C3HFI2/c4-1-2(5)3(1)6/h2H,InChIKey=NTWUFSAMHLWNLF-UHFFFAOYSA-N
FC1=CC1(I)I,FC1=CC1(I)I,309.848,C3HFI2,"1-fluoro-3,3-diiodocycloprop-1-ene",FC1=CC1(I)I,"InChI=1S/C3HFI2/c4-2-1-3(2,5)6/h1H",InChIKey=HBLHNQWUHUFAFM-UHFFFAOYSA-N
C(I)(I)(C#CF),FC#CC(I)I,309.848,C3HFI2,"1-fluoro-3,3-diiodoprop-1-yne",C(I)(I)(C#CF),InChI=1S/C3HFI2/c4-2-1-3(5)6/h3H,InChIKey=OPRYQKHOYJAHTE-UHFFFAOYSA-N
IC(C1F)=C1I,FC1C(I)=C1I,309.848,C3HFI2,"3-fluoro-1,2-diiodocycloprop-1-ene",IC(C1F)=C1I,InChI=1S/C3HFI2/c4-1-2(5)3(1)6/h1H,InChIKey=SPQLUVDITBBHRZ-UHFFFAOYSA-N
IC1=CC1(I)F,FC1(I)C=C1I,309.848,C3HFI2,"3-fluoro-1,3-diiodocycloprop-1-ene",IC1=CC1(I)F,InChI=1S/C3HFI2/c4-3(6)1-2(3)5/h1H,InChIKey=MLCGEUSNZODUNM-UHFFFAOYSA-N
C(F)(I)(C#CI),FC(I)C#CI,309.848,C3HFI2,"3-fluoro-1,3-diiodoprop-1-yne",C(F)(I)(C#CI),InChI=1S/C3HFI2/c4-3(6)1-2-5/h3H,InChIKey=NACKEHZMWGVKDG-UHFFFAOYSA-N
C(F)(I)(I)(C#C),C#CC(F)(I)I,309.848,C3HFI2,"3-fluoro-3,3-diiodoprop-1-yne",C(F)(I)(I)(C#C),"InChI=1S/C3HFI2/c1-2-3(4,5)6/h1H",InChIKey=JYFGYNFCNWWCIJ-UHFFFAOYSA-N
NC(C(I)I)=O,NC(=O)C(I)I,310.861,C2H3I2NO,"2,2-diiodoacetamide",NC(C(I)I)=O,"InChI=1S/C2H3I2NO/c3-1(4)2(5)6/h1H,(H2,5,6)",InChIKey=YFDNDAZSTPQDTM-UHFFFAOYSA-N
C(I)=C(Br)(Br),BrC(Br)=CI,311.742,C2HBr2I,"1,1-dibromo-2-iodoethene",C(I)=C(Br)(Br),InChI=1S/C2HBr2I/c3-2(4)1-5/h1H,InChIKey=XQBJKLVQMOQFEB-UHFFFAOYSA-N
C(Br)=C(Br)(I),BrC=C(Br)I,311.742,C2HBr2I,"1,2-dibromo-1-iodoethene",C(Br)=C(Br)(I),InChI=1S/C2HBr2I/c3-1-2(4)5/h1H,InChIKey=LKNUFXGEOPARSR-UHFFFAOYSA-N
PC(I)=CI,PC(I)=CI,311.829,C2H3I2P,"(1,2-diiodovinyl)phosphane",PC(I)=CI,"InChI=1S/C2H3I2P/c3-1-2(4)5/h1H,5H2",InChIKey=OSYBFTAGDRWEDC-UHFFFAOYSA-N
PC=C(I)I,PC=C(I)I,311.829,C2H3I2P,"(2,2-diiodovinyl)phosphane",PC=C(I)I,"InChI=1S/C2H3I2P/c3-2(4)1-5/h1H,5H2",InChIKey=SVVNDEMYKOSEAV-UHFFFAOYSA-N
IC1(I)CP1,IC1(I)CP1,311.829,C2H3I2P,"2,2-diiodophosphirane",IC1(I)CP1,"InChI=1S/C2H3I2P/c3-2(4)1-5-2/h5H,1H2",InChIKey=VIASXNXSVVCGGK-UHFFFAOYSA-N
IC1C(I)P1,IC1PC1I,311.829,C2H3I2P,"2,3-diiodophosphirane",IC1C(I)P1,"InChI=1S/C2H3I2P/c3-1-2(4)5-1/h1-2,5H",InChIKey=LYIPDZMVKNYLBU-UHFFFAOYSA-N
IC(I)C(O)=O,O=C(O)C(I)I,311.845,C2H2I2O2,"2,2-diiodoacetic acid",IC(I)C(O)=O,"InChI=1S/C2H2I2O2/c3-1(4)2(5)6/h1H,(H,5,6)",InChIKey=BQAMFNQVNXPFFH-UHFFFAOYSA-N
C(C1I)(C1(F)I),FC1(I)CC1I,311.864,C3H3FI2,"1-fluoro-1,2-diiodocyclopropane",C(C1I)(C1(F)I),"InChI=1S/C3H3FI2/c4-3(6)1-2(3)5/h2H,1H2",InChIKey=IFBDXLFIYNQXCI-UHFFFAOYSA-N
C(C(I)=C(F)I),CC(I)=C(F)I,311.864,C3H3FI2,"1-fluoro-1,2-diiodoprop-1-ene",C(C(I)=C(F)I),InChI=1S/C3H3FI2/c1-2(5)3(4)6/h1H3,InChIKey=IUSUNURQINKBJL-UHFFFAOYSA-N
C(I)(C=C(F)I),FC(I)=CCI,311.864,C3H3FI2,"1-fluoro-1,3-diiodoprop-1-ene",C(I)(C=C(F)I),"InChI=1S/C3H3FI2/c4-3(6)1-2-5/h1H,2H2",InChIKey=RXQMHCBIQTZSSZ-UHFFFAOYSA-N
C(I)(C1I)(C1F),FC1C(I)C1I,311.864,C3H3FI2,"1-fluoro-2,3-diiodocyclopropane",C(I)(C1I)(C1F),InChI=1S/C3H3FI2/c4-1-2(5)3(1)6/h1-3H,InChIKey=SUMXAGXLYOLFRV-UHFFFAOYSA-N
C(I)(C(I)=CF),FC=C(I)CI,311.864,C3H3FI2,"1-fluoro-2,3-diiodoprop-1-ene",C(I)(C(I)=CF),"InChI=1S/C3H3FI2/c4-1-3(6)2-5/h1H,2H2",InChIKey=IIESOUHLZLLQST-UHFFFAOYSA-N
C(I)(I)(C=CF),FC=CC(I)I,311.864,C3H3FI2,"1-fluoro-3,3-diiodoprop-1-ene",C(I)(I)(C=CF),InChI=1S/C3H3FI2/c4-2-1-3(5)6/h1-3H,InChIKey=RCSOAAKOWYVAHJ-UHFFFAOYSA-N
C(C1F)(C1(I)I),FC1CC1(I)I,311.864,C3H3FI2,"2-fluoro-1,1-diiodocyclopropane",C(C1F)(C1(I)I),"InChI=1S/C3H3FI2/c4-2-1-3(2,5)6/h2H,1H2",InChIKey=IOQAJSSPPOEGTJ-UHFFFAOYSA-N
C(C(F)=C(I)I),CC(F)=C(I)I,311.864,C3H3FI2,"2-fluoro-1,1-diiodoprop-1-ene",C(C(F)=C(I)I),InChI=1S/C3H3FI2/c1-2(4)3(5)6/h1H3,InChIKey=AKUGENPKIUZJHD-UHFFFAOYSA-N
C(I)(C(F)=CI),FC(=CI)CI,311.864,C3H3FI2,"2-fluoro-1,3-diiodoprop-1-ene",C(I)(C(F)=CI),"InChI=1S/C3H3FI2/c4-3(1-5)2-6/h1H,2H2",InChIKey=QCZWQEXTKLNVQP-UHFFFAOYSA-N
C(I)(I)(C(F)=C),C=C(F)C(I)I,311.864,C3H3FI2,"2-fluoro-3,3-diiodoprop-1-ene",C(I)(I)(C(F)=C),"InChI=1S/C3H3FI2/c1-2(4)3(5)6/h3H,1H2",InChIKey=VSRKWKAJPLCBKO-UHFFFAOYSA-N
C(F)(C=C(I)I),FCC=C(I)I,311.864,C3H3FI2,"3-fluoro-1,1-diiodoprop-1-ene",C(F)(C=C(I)I),"InChI=1S/C3H3FI2/c4-2-1-3(5)6/h1H,2H2",InChIKey=BBXXAEABJBQMDL-UHFFFAOYSA-N
C(F)(C(I)=CI),FCC(I)=CI,311.864,C3H3FI2,"3-fluoro-1,2-diiodoprop-1-ene",C(F)(C(I)=CI),"InChI=1S/C3H3FI2/c4-1-3(6)2-5/h2H,1H2",InChIKey=DWNFZTZHLMOBGY-UHFFFAOYSA-N
C(F)(I)(C=CI),FC(I)C=CI,311.864,C3H3FI2,"3-fluoro-1,3-diiodoprop-1-ene",C(F)(I)(C=CI),InChI=1S/C3H3FI2/c4-3(6)1-2-5/h1-3H,InChIKey=QJBJLCKPMROIHZ-UHFFFAOYSA-N
C(F)(I)(C(I)=C),C=C(I)C(F)I,311.864,C3H3FI2,"3-fluoro-2,3-diiodoprop-1-ene",C(F)(I)(C(I)=C),"InChI=1S/C3H3FI2/c1-2(5)3(4)6/h3H,1H2",InChIKey=BZFJCWORZZHAEY-UHFFFAOYSA-N
